LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
12.4540968,55.7449439,133,Hf. 4. Juli,,,,,2880,,bf9f930ac5a6adad
12.5650836,55.7144575,69,Vognmandsmarken,,,,,2100,,ea4b8082f082b254
10.7837585,54.9338371,501,Krogsbjergvej,,,,,5900,,2bd3ad56e7912591
9.5139651,55.4650233,14,Frejas Ager,,,,,6000,,be5289d2c6bfb1f0
8.5888559,56.8884868,9,NÃ¸rgÃ¥rdsvej,,,,,7752,,9b27111822efdd00
9.2709198,57.1100494,44,Kollerup Strandvej,,,,,9690,,98ca36d84e7dba3f
9.3007315,57.0309003,24,HÃ¸jlundsvej,,,,,9690,,b3184ee6cc8e8998
10.0372405,56.0759699,69,VestergÃ¥rds Alle,,,,,8362,,2b7fe0a4dc9b511e
10.8645883,56.4127698,67,FÃ¦lleskÃ¦r,,,,,8500,,c31c9ff86d069c6e
12.5506428,55.6537879,13,Ã˜stre Teglkaj,,,,,2450,,f6d6bcafcbf19265
12.5506428,55.6537879,13,Ã˜stre Teglkaj,,,,,2450,,f6d6bcafcbf19265
12.5506428,55.6537879,13,Ã˜stre Teglkaj,,,,,2450,,f6d6bcafcbf19265
12.5506428,55.6537879,13,Ã˜stre Teglkaj,,,,,2450,,f6d6bcafcbf19265
12.4836349,55.7121754,18,SortspÃ¦ttegangen,,,,,2700,,51dec8d8f23e7b13
10.0288315,56.2540553,27,Korsagervej,,,,,8382,,15e1360240bdfcd8
12.5671058,55.6790535,34B,Sankt Peders StrÃ¦de,,,,,1453,,e88874005be1674d
10.6126491,55.5109574,25B,SÃ¸ndre Skovgyde,,,,,5370,,70e03481677046bf
10.6126491,55.5109574,25B,SÃ¸ndre Skovgyde,,,,,5370,,70e03481677046bf
10.0302281,56.2536308,39,Midtager,,,,,8382,,e228b0c65449e1fd
10.0473766,55.3837878,7,Lindebjerg AllÃ©,,,,,5560,,31f60ad4e8c27097
10.0473766,55.3837878,7,Lindebjerg AllÃ©,,,,,5560,,31f60ad4e8c27097
10.0473766,55.3837878,7,Lindebjerg AllÃ©,,,,,5560,,31f60ad4e8c27097
10.0473766,55.3837878,7,Lindebjerg AllÃ©,,,,,5560,,31f60ad4e8c27097
9.8326678,54.9123292,84,Store Skovly,,,,,6400,,df14f9d9219b0fe6
11.9470598,55.3188441,15,Kolonihavevej,,,,,4690,,13aeec5e041bc35e
12.5841034,55.6235832,46,Hf. Energien,,,,,2770,,d47d09343d7fa86d
10.6457494,55.0750195,251,Nyborgvej,,,,,5700,,5ba3dc1f14a78694
10.3441837,55.3869716,46,Enghaven Havekoloni,,,,,5200,,bb3b4f3e5bff0242
10.5254338,56.5081557,42C,Nordkystvejen,,,,,8961,,7f5ee0338b2ec93c
12.4031759,55.7389232,34,Pf. Rytterhaven,,,,,2730,,130c845b37c0d4fc
8.2787544,55.6364364,60,Frejasvej,,,,,6840,,4ef7b9989ba90cd1
11.9613042,55.3261286,8K,Frederiksgade,,,,,4690,,f90a28ccaee0ac13
12.3390827,55.7194124,6,BrombÃ¦r Alle,,,,,2750,,350fcc677e53a9e2
12.4680005,55.7411844,515,Hf. Carl Nielsens Minde,,,,,2860,,dc667d4d48f83321
8.4077223,55.4994552,2D,Kastanievej,,,,,6710,,06a0390d9139e2d6
9.8229392,55.8552964,18,Hs Carl Troelsens Minde,,,,,8700,,e33307588819dc62
8.4678727,55.4764958,67,Langelandsvej,,,,,6700,,c906a52e8638e678
10.3543413,55.3995195,45,SnapindlÃ¸kken Havekoloni,,,,,5210,,d38448eff5bb04f2
10.424389,57.1428535,15,Asaa Strand,,,,,9340,,bb43c54540246413
12.4308588,55.851608,4,Lupinkrogen,,,,,3460,,32edcc18c09d4feb
12.4308588,55.851608,4,Lupinkrogen,,,,,3460,,32edcc18c09d4feb
11.794054,55.4354695,10,Odinsparken,,,,,4100,,da396febfb8f1fd2
11.6854148,55.6987971,3,Sports AllÃ©,,,,,4300,,7a8e5118104c79f0
12.075159,55.8172333,7,Ã˜rnestens VÃ¦nge,,,,,3600,,81d34bf51329b37d
12.5128071,55.7019928,66,Hvidkildevej,,,,,2400,,ce117c390d399911
12.3392543,55.6022531,26,Freyas Kvarter,,,,,2670,,d7161c37253ff803
9.6108088,56.1866239,14,Turkuvej,,,,,8600,,59703ac73ecbbb74
11.8197663,55.2042532,319M,Ny PrÃ¦stÃ¸vej,,,,,4700,,51b01174b1cb00ba
9.5305373,55.7074936,3C,Blegbanken,,,,,7100,,12f7dd9642ea1fd4
14.801014,55.2779829,2A,LavendelstrÃ¦de,,,,,3770,,65d2d83286d2aad1
10.1670113,57.1619147,29,Skelbakken,,,,,9320,,4a1215d669290609
10.4494359,55.4189151,34,Snedronningen,,,,,5240,,f3def3c0edb02a60
12.594343,55.7082303,5,Kielgade,,,,,2150,,f51fde96815061d2
12.5183233,55.7836495,324,Richard Petersens Plads,,,,,2800,,fcb1ad470bcf15be
12.5183233,55.7836495,324,Richard Petersens Plads,,,,,2800,,fcb1ad470bcf15be
12.5183233,55.7836495,324,Richard Petersens Plads,,,,,2800,,fcb1ad470bcf15be
12.5183233,55.7836495,324,Richard Petersens Plads,,,,,2800,,fcb1ad470bcf15be
8.4544645,55.4676557,23B,Danmarksgade,,,,,6700,,f5c9758e8d9cea9f
12.4674136,55.7431538,219,Hf. Carl Nielsens Minde,,,,,2860,,32a854464dec713a
11.6837145,55.9234585,39,Ã˜stervangshaven,,,,,4500,,01542f633993dcab
8.9638711,55.1559757,12,HÃ¸jvang,,,,,6520,,4e0b0577cdf9054e
11.9146054,55.6303394,19,Brobjergvej,,,,,4060,,3c93eab4234acb90
10.3221166,55.412297,9H,Paarupvej,,,,,5210,,e7a61069e7a1f0fe
10.3221166,55.412297,9H,Paarupvej,,,,,5210,,e7a61069e7a1f0fe
9.8453365,55.8650235,7D,TobaksgÃ¥rden,,,,,8700,,add1566743ae1879
10.6089865,55.0759112,4,Skovstjernehaven,,,,,5700,,27826975790b2b16
9.9680711,57.0570333,4C,Dybdalsvej,,,,,9220,,57515b8ed9c3d1bb
9.9680711,57.0570333,4C,Dybdalsvej,,,,,9220,,57515b8ed9c3d1bb
9.9680711,57.0570333,4C,Dybdalsvej,,,,,9220,,57515b8ed9c3d1bb
8.7529831,56.2004085,109,NÃ¸rregade,,,,,7480,,e6cf669ef20af873
9.8447691,55.9097292,10,SkovmÃ¦rket,,,,,8700,,3834fccc2cb8b790
11.3909826,54.696592,9A,Fruegade,,,,,4970,,746a65bcab7025fb
10.3063933,55.0810436,9A,Byvej,,,,,5600,,02119bfd74b4f4b3
10.2493448,55.4819242,10,SolsikkevÃ¦nget,,,,,5471,,cd60f63111aba3be
12.5737404,55.8282743,225A,Skodsborg Strandvej,,,,,2942,,2e130f050d36f4a3
12.5737404,55.8282743,225A,Skodsborg Strandvej,,,,,2942,,2e130f050d36f4a3
12.5737404,55.8282743,225A,Skodsborg Strandvej,,,,,2942,,2e130f050d36f4a3
12.5737404,55.8282743,225A,Skodsborg Strandvej,,,,,2942,,2e130f050d36f4a3
12.5737404,55.8282743,225A,Skodsborg Strandvej,,,,,2942,,2e130f050d36f4a3
12.5737404,55.8282743,225A,Skodsborg Strandvej,,,,,2942,,2e130f050d36f4a3
12.5737404,55.8282743,225A,Skodsborg Strandvej,,,,,2942,,2e130f050d36f4a3
11.6444741,55.6483176,8,Malusvej,,,,,4420,,fd0e8bc6355dd185
10.1005782,56.1281409,74,Salamanderparken,,,,,8260,,307a461358210869
11.7176837,55.7009516,4V,RÃ¸rvangsvej,,,,,4300,,823a0cd3fb998de2
12.5594976,55.6729584,23,Vesterbrogade,,,,,1620,,fb6b45cd726f5ff7
9.8393976,56.3014476,73,Vestermarksvej,,,,,8881,,4750ae5278ccf497
9.9997374,57.0242761,6F,TornhÃ¸jvej,,,,,9220,,35664722ef72ecc9
10.5792237,55.0481573,1A,SkovlÃ¸kke,,,,,5700,,84bd86a1a45509ca
9.9369348,57.035685,2,Ditlev Bergs Vej,,,,,9000,,22c487c6b29cc3bf
10.3104263,56.3083618,8,Nannas VÃ¦nge,,,,,8543,,b1dbdcdcf3c9d14c
10.3104263,56.3083618,8,Nannas VÃ¦nge,,,,,8543,,b1dbdcdcf3c9d14c
10.3790852,55.4061361,23,Toldbodhusevej,,,,,5000,,0dbefb8d60f2e1bb
10.1166772,56.0842415,41,Ã˜stergÃ¥rdsparken,,,,,8310,,d3e094ee67cdd8b3
12.3404456,55.7139698,73,HÃ¸jvÃ¦nge Alle,,,,,2750,,bc1d71cd00fe7ee8
10.5707333,56.4091641,14C,Ramtenvej,,,,,8581,,fd38fad4bc7a523e
9.7931803,56.0930868,42,Kildebjerg Skovvej,,,,,8680,,fd36b263612c3554
12.2748632,54.9739129,46,NikkelsbÃ¦kvej,,,,,4780,,319288fef4963bec
12.3838095,55.7066143,5,Ved Ã…en,,,,,2740,,c72b577e0f60f7a4
9.9955031,55.8100771,5,Kirkeager,,,,,7130,,08c25cf2206b3c5b
12.2838976,55.9191898,2,Peder Oxes Alle,,,,,3400,,2682dd1775076fd1
12.3215418,55.6449555,239,GrÃ¸nhÃ¸jgÃ¥rdsvej,,,,,2630,,ed77e91b3f17a148
9.4600182,55.48443,3,Munkeparken,,,,,6000,,52bb94b1a819f781
10.6841284,56.2045377,11A,GolfhÃ¸jen,,,,,8400,,2f68edcbe1cb2206
12.1179724,55.4876331,56A,Lyngvej,,,,,4600,,3008e6bdac4af94d
8.6835842,56.9724294,40A,Hanstholmvej,,,,,7700,,776cb8b8c559f829
12.5151624,55.6389775,26,Hf. Bergmannshave,,,,,2450,,1967e4942de380d6
11.7850605,55.4585516,32,VÃ¦nget,,,,,4100,,2adb5d18e2dcac2a
